ranking,continent,alliance,military
1,30,Black Sail Reapers,27660806
2,30,Marshmallows,108747
3,30,Wild Ones All Hail,82739
4,30,Only The Lonely,1938
5,30,wolfdogs,154
1,31,Wild Ones All Hail,104526646
2,31,Dirty Mastiff Cartel,102435457
3,31,Black Sail Reapers,2611638
4,31,Bad Hombres,1385816
5,31,Arrows & Guards,105021
6,31,Wolf Pack & Horizon,58303
7,31,Axis 17,1920
8,31,HellSpawn,111
1,32,Dirty Mastiff Cartel,363184099
2,32,Bad Hombres,26037132
3,32,HellSpawn,8758644
4,32,Wild Ones All Hail,4825613
5,32,Arrows & Guards,177845
6,32,Wolf Pack & Horizon,175538
7,32,Axis 17,103092
8,32,House Cuthbertson,16239
9,32,The Wolf Pack,7016
10,32,The ARK,1
1,33,Wolf Pack & Horizon,339409707
2,33,The Wolf Pack,28775411
3,33,Marshmallows,878478
4,33,Horizon ( W10 ),303212
5,33,Arrows & Guards,224264
6,33,Axis 17,73311
7,33,Dirty Mastiff Cartel,72058
8,33,Never more H,22982
9,33,Wild Ones All Hail,22695
10,33,Horizon,1420
11,33,UnitedFedofPlanets,460
12,33,UNWANTED,5
1,34,Wolf Pack & Horizon,212804645
2,34,The Wolf Pack,7219220
3,34,Horizon,264352
4,34,Arrows & Guards,71701
5,34,Goofing on Elvis,1989
6,34,Zerks On Opium,33
7,34,UNWANTED,4
8,34,Axis 17,3
1,35,Wolf Pack & Horizon,37343627
2,35,The Wolf Pack,39871
3,35,the shadows,238
1,41,Black Sail Reapers,66037907
2,41,Arrows & Guards,2898144
3,41,Tiny Alliance,347835
4,41,need a good alliance,175830
5,41,Fuck Big Alliances,29975
6,41,KeeponPimpin,8064
7,41,NEPOTICOS UNIDOS,2960
8,41,red knights,794
9,41,Paradigma,366
10,41,Bad Hombres,1
1,42,Black Sail Reapers,100002304
2,42,Arrows & Guards,37334462
3,42,Wolf Pack & Horizon,2860053
4,42,Dirty Mastiff Cartel,1153064
5,42,Tiny Alliance,625317
6,42,HouseEastborn,392880
7,42,Bad Hombres,235641
8,42,The Wolf Pack,72259
9,42,HellSpawn,36837
10,42,Swamp Donkeys,18501
11,42,Legio Draconis,13950
12,42,Axis 17,13725
13,42,Cupid Stunt,12749
14,42,Scarabs,11813
15,42,Neophyte,4535
1,43,Black Sail Reapers,127211537
2,43,Wolf Pack & Horizon,19152933
3,43,Arrows & Guards,8794005
4,43,Alliance One,4179398
5,43,Tiny Alliance,2205221
6,43,BardiniWorld,1022795
7,43,The Wolf Pack,754162
8,43,Dirty Mastiff Cartel,626249
9,43,Wild Ones All Hail,360860
10,43,Tribulation Saints,268033
11,43,HellSpawn,62834
12,43,Axis 17,18487
13,43,Bad Hombres,4000
14,43,Alianza Sparta,10
1,44,Wolf Pack & Horizon,117961238
2,44,The Wolf Pack,5523982
3,44,Scarabs,84086
4,44,Arrows & Guards,50976
5,44,Tribe of Foxes,27366
6,44,Tiny Alliance,6784
7,44,Fashion Police,6471
8,44,NoSTress,4675
9,44,M.Y.T.H,2779
10,44,Wild Ones All Hail,2200
11,44,dq squad 2,488
12,44,Black Sail Reapers,2
1,52,Wolf Pack & Horizon,10064214
2,52,Arrows & Guards,1658916
3,52,HouseEastborn,6662
4,52,dq squad 2,8
1,53,Wolf Pack & Horizon,53125398
2,53,The Wolf Pack,596361
3,53,Black Sail Reapers,593526
4,53,Wild Ones All Hail,1216
5,53,Allied Insects,763
6,53,BROTHERS OF FAITH,428
1,54,Wolf Pack & Horizon,1252434
2,54,Black Sail Reapers,611287
3,54,Wild Ones All Hail,359
